type	onset
1	7.592254638671875
2	8.057586669921875
1	8.50799560546875
2	9.07843017578125
1	9.678802490234375
2	10.264251708984375
1	10.74468994140625
2	11.345062255859375
1	11.76544189453125
2	12.35089111328125
1	12.786163330078125
2	13.266510009765625
1	13.821929931640625
2	14.332305908203125
1	14.842681884765625
2	15.443145751953125
1	16.013580322265625
2	16.463897705078125
1	16.9593505859375
2	17.4697265625
1	18.0401611328125
2	18.655548095703125
1	19.271026611328125
2	19.751373291015625
1	20.321807861328125
2	20.907257080078125
1	21.49273681640625
2	22.09320068359375
1	22.678558349609375
2	23.264007568359375
1	23.804412841796875
2	24.419891357421875
1	24.975311279296875
2	25.485687255859375
1	25.920989990234375
2	26.536468505859375
1	27.001800537109375
2	27.46722412109375
1	28.00762939453125
2	28.54803466796875
1	29.13348388671875
2	29.61383056640625
1	30.139190673828125
2	30.634552001953125
1	31.129913330078125
2	31.700347900390625
1	32.285797119140625
2	32.706085205078125
1	33.1865234375
2	33.7269287109375
1	34.2523193359375
2	34.82275390625
1	35.3331298828125
2	35.768402099609375
1	36.278778076171875
2	36.759124755859375
1	37.284515380859375
2	37.79498291015625
1	38.230255126953125
2	38.665557861328125
1	39.1009521484375
2	39.581268310546875
1	40.001556396484375
2	40.43695068359375
1	40.99237060546875
2	41.427642822265625
1	41.863037109375
2	42.478424072265625
1	43.063873291015625
2	43.544219970703125
1	44.129669189453125
2	44.595001220703125
1	45.0904541015625
2	45.630859375
1	46.1112060546875
2	46.621551513671875
1	47.1920166015625
2	47.7774658203125
1	48.227752685546875
2	48.8282470703125
1	49.398681640625
2	49.833953857421875
1	50.284271240234375
2	50.809661865234375
1	51.29010009765625
2	51.755401611328125
1	52.235748291015625
2	52.746124267578125
1	53.286529541015625
2	53.781890869140625
1	54.217254638671875
2	54.832763671875
1	55.328125
2	55.838470458984375
1	56.4239501953125
2	56.9793701171875
1	57.5047607421875
2	58.0301513671875
1	58.570556640625
2	59.035858154296875
1	59.606292724609375
2	60.131683349609375
1	60.582000732421875
2	61.122406005859375
1	61.632781982421875
2	62.158172607421875
1	62.773651123046875
2	63.329071044921875
1	63.944549560546875
2	64.530029296875
1	65.055419921875
2	65.6708984375
1	66.27127075195312
2	66.87173461914062
1	67.38211059570312
2	67.84744262695312
1	68.44790649414062
2	69.00332641601562
1	69.61880493164062
2	70.17422485351562
1	70.69961547851562
2	71.24002075195312
1	71.81048583984375
2	72.27578735351562
1	72.84622192382812
2	73.35659790039062
1	73.82192993164062
2	74.25732421875
1	74.8427734375
2	75.3681640625
1	75.83346557617188
2	76.40390014648438
1	76.92929077148438
2	77.48471069335938
1	77.95004272460938
2	78.53549194335938
1	79.135986328125
2	79.57125854492188
1	80.08163452148438
2	80.51702880859375
1	80.98233032226562
2	81.55279541015625
1	81.98806762695312
2	82.4234619140625
1	82.9188232421875
2	83.4742431640625
1	84.0296630859375
2	84.46493530273438
